Employee ID,Location,Time in Role,Job Title,Division,Function,Level or Grade,Manager Responsibilities,Disability Status,Changed role in last 12 months?,Year of Birth,Performance Rating - Last Annual Review,Salary range min,Salary range max,Gender,Ethnicity,Tenure,Most Recent Start Date,Working hours,Contractual Annual Salary
965028,UK,7.88,Finance Analyst,Operations,Payroll,Scale D,N,No,No,1990,Below Expectations,33200,41742,Non-binary,Not Ethnic Minority,12.51,2014-12-02,40.0,43432.4
708403,Canada,0.81,Facilities Supervisor,Customer Service,Customer Support,Scale A,N,Yes,New Joiner,2000,Below Expectations,34568,40294,Male,Ethnic Minority,4.37,2014-05-10,40.0,59980.06
768582,Germany,8.53,HR Manager,Facilities,Legal Counsel,Scale B,N,Yes,Yes,1996,Below Expectations,33612,42832,Male,Not Ethnic Minority,1.12,2023-04-08,37.5,45257.95
174308,Germany,7.68,IT Support Technician,Marketing,Vendor Management,Scale J,Y,Yes,New Joiner,1991,TSTR,30366,38448,Non-binary,Ethnic Minority,1.78,2015-09-18,40.0,49706.73
185826,Canada,3.28,Operations Coordinator,Human Resources,Software Development,Scale B,Y,Unknown,New Joiner,1979,Below Expectations,24062,32966,Non-binary,Not Ethnic Minority,0.17,2023-07-22,37.5,48697.92
874925,Canada,6.09,Payroll Officer,Operations,Legal Counsel,Scale B,N,Unknown,No,1958,Good,32649,39289,Non-binary,Not Ethnic Minority,12.02,2017-01-27,35.0,58806.58
133960,US,1.55,Facilities Supervisor,Procurement,Accounting,Scale B,N,Unknown,Yes,1955,Below Expectations,25721,30404,Female,Not Ethnic Minority,14.63,2012-03-26,40.0,49546.58
632942,Germany,3.44,Digital Marketing Manager,Legal,Vendor Management,Scale C,N,No,New Joiner,1977,Below Expectations,27492,31392,Non-binary,Not Ethnic Minority,10.49,2016-01-20,35.0,50469.76
623832,UK,0.26,Sales Representative,Legal,Payroll,Scale D,Y,Unknown,No,1993,Below Expectations,27900,32449,Non-binary,Not Ethnic Minority,7.38,2015-10-24,40.0,34358.03
718006,UK,3.47,HR Manager,Customer Service,Vendor Management,Scale C,Y,Unknown,No,1991,TSTR,22959,29311,Male,Not Ethnic Minority,12.32,2016-03-01,37.5,38411.27
331630,UK,3.64,Customer Service Advisor,Product Development,Risk Management,Scale F,Y,Unknown,No,1987,Good,25239,34802,Male,Not Ethnic Minority,2.51,2011-10-29,40.0,30032.31
622490,UK,6.92,HR Manager,Customer Service,Infrastructure,Scale A,Y,No,Yes,1999,Below Expectations,25165,33500,Male,Ethnic Minority,13.68,2013-07-22,40.0,41980.41
589287,US,7.73,Legal Advisor,Finance,Payroll,Scale J,N,Yes,New Joiner,1957,Good,20422,27370,Male,Not Ethnic Minority,10.48,2021-11-16,37.5,53582.24
852593,US,6.67,Facilities Supervisor,Product Development,Data Analysis,Scale E,Y,Yes,No,1966,Below Expectations,30649,35133,Non-binary,Ethnic Minority,9.33,2017-05-30,35.0,56237.8
326159,UK,9.76,Customer Service Advisor,Sales,Employee Relations,Scale J,Y,Yes,New Joiner,1972,TSTR,23122,31760,Male,Not Ethnic Minority,8.63,2017-04-04,40.0,31756.95
319980,Canada,6.57,Compliance Analyst,Marketing,Product Management,Scale J,N,Unknown,Yes,1959,TSTR,20460,26367,Male,Not Ethnic Minority,4.5,2010-12-12,37.5,30682.6
621857,Germany,7.81,Payroll Officer,Risk & Compliance,Customer Support,Scale A,N,No,No,1994,Outstanding,30035,38439,Non-binary,Ethnic Minority,1.65,2016-08-03,35.0,28902.55
318175,US,2.42,Accountant,Facilities,Infrastructure,Scale J,N,No,New Joiner,1969,TSTR,30932,38559,Male,Not Ethnic Minority,8.52,2019-07-16,37.5,51981.3
